Q5879	Signature%20of%20Johann%20Wolfgang%20von%20Goethe.svg
Q5928	Hendrix.svg
Q6050	Signature%20of%20Anna%20de%20Noailles.png
Q6512	Kierkegaard%20sig.png
Q6515	Mervyn%20Peake%20signature.svg
Q6527	Jean-Jacques%20Rousseau%20Signature.svg
Q6530	Stanis%C5%82aw%20Lem%20signature.svg
Q6538	G%C3%BCnter%20Grass%20%28signature%29.jpg
Q6541	Unterschrift%20Heino%20deutscher%20Musiker.png
Q6682	Gustave%20dore%20signature.jpg
Q6694	Alexander%20von%20Humboldt%20signature.svg
Q6701	Signatur%20Jacob%20Grimm.PNG
Q6711	Allen%20Ginsberg%20signature.svg
Q6714	Signatur%20Wilhelm%20Grimm.PNG
Q6722	Carl%20Friedrich%20Gau%C3%9F%20signature.svg
Q6733	Edward%20Teller%20signature.svg
Q6882	James%20Joyce%20signature.svg
Q7085	Niels%20Bohr%20Signature.svg
Q7091	Galois-Signature.svg
Q7103	Sophie%20Germain%20-%20Signature.jpg
Q7177	Jean-Marie%20Le%20Pen%20signature.svg
Q7186	Marie%20Curie%20Sk%C5%82odowska%20Signature%20Polish.svg
Q7197	Simone%20de%20Beauvoir%20%28signature%29.jpg
Q7199	Marcel%20Proust%20signature.svg
Q7200	Pushkin%20Signature.svg
Q7207	Autograph%20of%20Elizabeth%20I%20of%20England.svg
Q7226	Jeanne%20d%27Arc%20signature%2016%20mars%201430.svg
Q7231	Rosa%20Luxemburg%20signature.svg
Q7241	Rabindranath%20Tagore%20Signature.svg
Q7243	Leo%20Tolstoy%20signature.svg
Q7245	Mark%20Twain%20Signatures-2.svg
Q7251	Alan%20Turing%20signature.svg
Q7259	Augusta%20Ava%20Lovelace%20autograph.svg
Q7286	Signature%20Only%20Emilie%20Du%20Chatelet%20RGNb10349352.01.tif
Q7294	Brahms%20Signature.svg
Q7298	Antonin%20dvorak%20signature.svg
Q7302	George%20Frideric%20Handel%20Signature.svg
Q7304	Mahler-signature.svg
Q7311	Giacomo%20Puccini%20signature.svg
