Q260514	Tovenaarsleerling%20S%20Barth.png
Q261565	RUB%2022%20%28Leipzig%2C%201986%2C%2039.Auflage%29%20-%20Heine%2C%20Deutschland.%20Ein%20Winterm%C3%A4rchen.jpg
Q263150	Friedrich%20Schiller%20-%20Kabale%20und%20Liebe%201784.jpg
Q263158	Hildebrandslied1.jpg
Q265954	Slaughterhouse-Five%20%28first%20edition%29%20-%20Kurt%20Vonnegut.jpg
Q266232	Traumnovelle-Titelbild.gif
Q267510	Titelblatt%20Faust%20II%201832.jpg
Q267634	Critone%20-%20c1.jpg
Q271697	Spyri%20Heidi%20Cover%201887.jpg
Q272029	Waltraute%20confronts.jpg
Q272169	Kirk-TitusAct4ProtectSon.jpg
Q272169	Titus%20-%20Gravelot.jpg
Q272506	Andr%C3%A9%20Castaigne%20Fant%C3%B4me%20Op%C3%A9ra1.jpg
Q272599	All%20Quiet%20on%20the%20Western%20Front%20%281930%20film%29%20poster.jpg
Q273585	Rapunzel%20omslag.gif
Q276015	Rongo%20Analects%2002.jpg
Q277019	Pens%C3%A9es%20sur%20l%E2%80%99interpr%C3%A9tation%20de%20la%20nature.png
Q278208	Catch-22%20%281961%29%20front%20cover%2C%20first%20edition.jpg
Q278998	Kafka%201916%20Das%20Urteil.jpg
Q279486	Remington%20hiawatha.jpg
Q279676	Heinrich%20von%20Kleist%20Erz%C3%A4hlungen%201810%20-%201811.jpg
Q282181	Einb%C3%A4nde%20Joseph%20und%20seine%20Br%C3%BCder.jpg
Q286381	Alfons%20Mucha%20-%20Medea.jpg
Q286611	Lessing%20Nathan%20der%20Weise%201779.jpg
Q286611	RUB%203%20%28Leipzig%2C%201986%2C%2037.Auflage%29%20-%20Lessing%2C%20Nathan%20der%20Weise.jpg
Q288020	CantervilleCover.jpg
Q289117	John%20Gabriel%20Borkman%20manuscript%20title.jpeg
Q289117	LinnStokke-1979-DEX%20FS%20000228.jpg
Q295347	Manuscipt.jpg
Q302229	Berliner%20Abendbl%C3%A4tter.jpg
Q302750	Bundesarchiv%20Bild%20183-K1005-0020%2C%20Berlin%2C%20Wolfgang%20Heinz%20als%20%22Galilei%22.jpg
Q308918	A%20Tale%20of%20Two%20Cities%20title%20page.png
Q311449	Bundesarchiv%20B%20285%20Bild-04413%2C%20KZ%20Auschwitz%2C%20Einfahrt.jpg
Q313129	Middlemarch%201.jpg
Q315108	Evangeliar%20Heinrichs%20des%20L%C3%B6wen.jpg
Q52	Wikipedia%20Portal%20Screenshot%20%282022%29.svg
Q300	%C3%8Dslendingas%C3%B6gur.jpg
Q428	AndalusQuran.JPG
Q447	Encyclopedie%20de%20D%27Alembert%20et%20Diderot%20-%20Premiere%20Page%20-%20ENC%201-NA5.jpg
Q480	Miguel%20de%20Cervantes%20%281605%29%20El%20ingenioso%20hidalgo%20Don%20Quixote%20de%20la%20Mancha.png
Q886	Simpsons%20Statues%20%28cropped%29.jpg
Q1845	Gutenberg%20Bible%2C%20Lenox%20Copy%2C%20New%20York%20Public%20Library%2C%202009.%20Pic%2001.jpg
Q2870	Gone%20with%20the%20Wind%20%281936%2C%20first%20edition%20cover%29.jpg
Q4577	Job%20Scroll%20%28cropped%29.jpg
Q4579	Proverb%20scroll.PNG
Q5064	Zauberfl%C3%B6te-Theaterzettel1791.jpg
Q6027	Zola%2C%20Francois%20Emile%20-%20Die%20Sammelb%C3%A4nde%20der%20%C2%BBRougon-Macquart%C2%AB%20hinter%20einer%20Plakette%20und%20einer%20Daguerreotypie%20des%20sechsj%C3%A4hrigen%20Emile%20%28Zeno%20Fotografie%29.jpg
Q6507	Joyce%20wake.jpg
Q6511	JoyceUlysses2.jpg
Q6911	Original%20Book%20Copy.jpg
Q8265	Hongloumeng2.jpg
Q8269	Genji%20emaki%2001003%20002.jpg
Q8275	P.%20Oxy.%20221.jpg
Q8337	Harry%20Potter%20Book%20and%20Wand.jpg
Q8736	Treaty%20of%20Versailles%2C%20English%20version.jpg
Q9184	Adam%20and%20Eve%20%28UK%20CIA%20P-1947-LF-77%29.jpg
Q9184	Genesis%201%20Dead%20Sea%20Scroll%20%28Cropped%29.jpg
Q11827	Raxstra%C3%9Fe%2010.JPG
Q11829	H%C3%A4nsel%20und%20Gretel2.jpg
Q11831	1862%20M%C3%BCller%20Schneewittchen%20anagoria.JPG
Q11843	Smithsnowred.jpg
Q11848	Snowdrop-Rackham-071.jpg
Q11850	Kinder%20und%20Hausm%C3%A4rchen%20%28Grimm%29%201812%20I%20001.jpg
Q11853	Illustration%20at%20page%20126%20in%20Grimm%27s%20Household%20Tales%20%28Edwardes%2C%20Bell%29.png
Q11856	Raxstra%C3%9Fe%2012.JPG
Q11989	Beethoven%20Ninth%20Symphony.png
Q12418	Mona%20Lisa%2C%20by%20Leonardo%20da%20Vinci%2C%20from%20C2RMF%20natural%20color.jpg
Q15005	Woe%20from%20Wit%2001%20%28Kardovsky%29.jpg
Q15228	El%20Se%C3%B1or%20de%20los%20Anillos%20lectura.jpg
Q16438	Andrea%20del%20Castagno%20Giovanni%20Boccaccio%20c%201450.jpg
Q18402	La%20strada%20film.jpg
Q18813	Ann%20Arbor%2C%20University%20of%20Michigan%20Ms%20P.Mich.inv.%201570%20%28Papyrus%2037%29%20recto%20Matt%2026%2C%2019-37.jpg
Q19786	Rembrandt%20Harmensz.%20van%20Rijn%20079.jpg
Q19871	A%20student%20production%20of%20%22Waiting%20for%20Godot%22.jpg
Q20124	Origin%20of%20Species%20title%20page.jpg
Q22726	Tenniel-TheRaven.jpg
Q23085	August%20von%20Heckel%20Lohengrin.jpg
Q23085	Lohengrin%20%28tenore%29%2C%20figurino%20di%20Alfredo%20Edel%20per%20Lohengrin%20%281888%29%20-%20Archivio%20Storico%20Ricordi%20ICON004383.jpg
Q24815	Citizen%20Kane%20poster%2C%201941%20%28Style%20B%2C%20unrestored%29.jpg
