10051085-1	Deutsche_Druck-_und_Verlagsgesellschaft
10051110-7	Fritz_Heyder_Verlag
1005140-5	H._C._Andersens_Hus
10051634-8	Deutsch-Franz%C3%B6sische_Hochschule
10051662-2	Deutsches_Kulturforum_%C3%B6stliches_Europa
1005204-5	Instytut_Zachodni
1005233-1	Istituto_Affari_Internazionali
10052576-3	Stiftung_zur_Bewahrung_kirchlicher_Baudenkm%C3%A4ler_in_Deutschland
10052857-0	Wellk%C3%BCren
10052963-X	E.T.A._Hoffmann-Haus
10053374-7	Heimatkundliches_Museum_Sankt_Gilgen
1005355-4	Gesellschaft_f%C3%BCr_freie_Publizistik
10053761-3	Nordost-Institut
10054142-2	Deutsche_Gesellschaft_f%C3%BCr_Demographie
1005458-3	Istituto_Lombardo_Accademia_di_Scienze_e_Lettere
1005516-2	Typographische_Gesellschaft_M%C3%BCnchen
10055291-2	Bundesarbeitsgemeinschaft_Werkst%C3%A4tten_f%C3%BCr_behinderte_Menschen
10055357-6	Kolleg_Friedrich_Nietzsche
1005538-1	Deutsches_Jugendinstitut
10055530-5	Friedrich-Wilhelm-Murnau-Stiftung
10055695-4	Augusteum_und_Lutherhaus_Wittenberg
10055917-7	RBB-Fernsehzentrum
10055991-8	Papierfabrik_Palm
10056616-9	Trumpf_%28Unternehmen%29
10056990-0	Osnabr%C3%BCcker_Symphonieorchester
1005701-8	Istituto_Italiano_di_Studi_Germanici
1005707-9	Istituto_Italiano_per_gli_Studi_Storici
10057389-7	Bundeszentrale_f%C3%BCr_Kinder-_und_Jugendmedienschutz
10057478-6	DigiZeitschriften
1005757-2	National_Library_of_Australia
1005765-1	British_Library_of_Political_and_Economic_Science
1005767-5	Edinburgh_Hill
1005783-3	Lia_Rumantscha
10058056-7	British_Chess_Problem_Society
1005929-5	International_African_Institute
1005961-1	J%C3%BCdisches_Historisches_Institut
10059765-8	Sparkasse_Hannover
10059872-9	Jonas_Verlag
10059953-9	Louis_Vuitton
10059987-4	Daile-Theater
10060130-3	Stiftung_Science_et_Cit%C3%A9
1006046-7	The_Huntington
1006049-2	New_York_Public_Library
1006051-0	Folger_Shakespeare_Library
1006067-4	Schweizerische_Nationalbibliothek
1006128-9	Institut_Catholique_de_Paris
