Q1398	Parco%20della%20Grotta%20di%20Posillipo5%20%28crop%29.jpg
Q1399	Portrait%20of%20Niccol%C3%B2%20Machiavelli%20by%20Santi%20di%20Tito.jpg
Q1401	Altichiero%2C%20ritratto%20di%20Francesco%20Petrarca.jpg
Q1402	Boccaccio%20by%20Morghen.jpg
Q1403	Luigi%20Pirandello%201932.jpg
Q1405	Augustus%20of%20Prima%20Porta%20%28inv.%202290%29.jpg
Q1413	Nero%20Palatino%20Inv618.jpg
Q1419	Head%20of%20Vespasianus%20in%20Palazzo%20Massimo%20%28Rome%29.jpg
Q1425	Traianus%20Glyptothek%20Munich%20336.jpg
Q1427	Bust%20Hadrian%20Musei%20Capitolini%20MC817.jpg
Q1430	Marcus%20Aurelius%20Louvre%20MR561%20n02.jpg
Q1434	Commodus%20Musei%20Capitolini%20MC1120.jpg
Q1470	Maurits%20Cornelis%20Escher.jpg
Q1488	Brasillach%20portrait.jpg
Q1500	Jose%20Rizal%20full.jpg
Q1511	RichardWagner.jpg
Q1512	Robert%20Louis%20Stevenson%20by%20Henry%20Walter%20Barnett%20bw.jpg
Q1514	Janis%20Joplin%201970.JPG
Q1523	Colossal%20bust%20of%20Ramesses%20II%20in%20the%20British%20Museum.jpg
Q1528	Penn%20Rams%C3%A9s%20III%2003.JPG
Q1528	Weihrauchopfer%20RamsesIII%20aus%20KV11.jpg
Q1541	Bust%20of%20Cicero%20%281st-cent.%20BC%29%20-%20Palazzo%20Nuovo%20-%20Musei%20Capitolini%20-%20Rome%202016.jpg
Q1579	Ganapati%20with%20Mooshak.jpg
Q1579	Ganesha%20Basohli%20miniature%20circa%201730%20Dubost%20p73.jpg
Q1579	Ganesha%2C%20ivory%20carving%20in%20the%20Indian%20Museum%2C%20Kolkata.jpg
Q1589	Luigi%20Galvani%2C%20oil-painting.jpg
Q1615	Neil%20Armstrong%20pose.jpg
Q1618	Col%20Charles%20Lindbergh%2C%20original%2C%20hec.21329.jpg
