100864651	Domenico%20Della-Maria%20by%20Godefroy%20Engelmann.jpg
100867367	Leyser.augustin.jpg
100919170	Beulwitz%20rudolstadt%20%28cropped%29.JPG
100940382	Walthariuslied.jpg
100941303	BnF%20ms.%2012473%20fol.%2095%20-%20Guilhem%20Figueira%20%282%29.jpg
100944906	BnF%20ms.%2012473%20fol.%2089v%20-%20Guilh%C3%A8m%20de%20Cabestanh%20%282%29.jpg
100945546	Pap%C5%82o%C5%84ski%20Helmolda%20Kronika%20S%C5%82owia%C5%84ska.jpeg
100959202	Philobiblon%20%281902%29%20Richard%20de%20Bury%20-%20frontispiece.jpg
100964338	Verona%20Italy%20San%20Zeno%20DSC07766.JPG
100965296	Arnautdaniel1.jpg
10096883X	Codex%20Manesse%20052r%20Walther%20von%20Klingen.jpg
100970001	Tilemann%20Elhen%20von%20Wolfhagen%20Denkmal%2C%20Regionalmuseum%20Wolfhager%20Land%2C%20Wolfhagen%2C%20Hesse%2C%20Deutschland%20-%20200802.jpg
100974988	Plato%20II.jpg
100975127	St%C3%A4ehlin%20by%20de%20Veilly.jpg
100977030	Levrault%2C%20Fran%C3%A7ois%20Georges%20%28par%20Gu%C3%A9rin%29.jpg
100998429	Schwartz%20%28attr%29%20Erhard%20Hinrich%20Heeren%201804.jpg
101001037	Gottlob%20David%20Hartmann%20-%20Lavater%202.jpg
101007183	Vaclav%20Alois%20Svoboda%20Navarovsky.jpg
101016735	Johan%20Daniel%20von%20Reitter.jpg
101037236	Jungnitz%2C%20Longinus%20Anton%20%28portrait%29.jpg
101042159	Heinrich%20Christoph%20von%20Struve.jpg
101044917	Prof.%20Eugen%20N%C3%A4gele%20%281926%20T%C3%BCBl18-00%29.png
101046588	Rare%20photo%20of%20Princess%20Alexandra%20Am%C3%A9lie%20of%20Bavaria%202.jpg
101051239	Sixt%20Jakob%20von%20Kapff.jpg
101052677	Celle%20Schloss%20Ernest%20Augustus%2C%20Elector%20of%20Hanover%2001.JPG
101053800	900-203%20Herzog%20Eberhard%20III.jpg
101056583	Konrad%20Dietrich%20Hassler%20um%201848.jpg
101058489	Parte%20Anton%20M%C3%BCller%20Br%20Willram%201939.jpg
101062206	Alois%20Klar%201831.jpg
101067402	Theodor%20Trautwein.jpg
101074514	WP%20Nikolaus%20Graf%20zu%20Dohna-Schlodien.jpg
101076223	Ludwig%20Joseph%20Windischgr%C3%A4tz.jpg
101076614	Ludwig%20Eugen%20von%20W%C3%BCrttemberg.JPG
101078161	Wilhelm%20zu%20Wied%201912%20a.jpg
101082878	Bigelmair-andreas-in-handwerker-otto-die-dreihundertf%C3%BCnfzigjahrfeier-der-julius-maximilians-universitaet-wuerzburg-1932-wuerzburg-stuertz-1932-vor-s001.jpg
101096135	August%20Ritter%20von%20Ganghofer.jpg
101100175	Diane%20d%27Andouins%2C%20La%20Belle%20Corisande.jpg
101102364	William%20Degouve%20de%20Nuncques.jpg
101102585	James%20Ensor%20%22Peintre%20aux%20Prises%22%201938%20%28portret%20van%20Suzanne%20Van%20Damme%29.jpg
101104340	Dr.%20Gustav%20Gl%C3%BCck%201914%20C.%20Pietzner.png
101104677	Carl%20Beisbarth%2C%20Portr%C3%A4t.jpg
101105118	Benedictus%20Pererius%20%281535-1610%29.jpg
10110958X	Ghirshman%20team.jpg
101110464	Adolf%20Michaelis%20zum%20Gedachtnis%2C%20frontispiece.jpg
101112211	Charles%20Diehl%201922.jpg
